id,sdp,group,sus_G,sus_E,sus,inf_G,inf_E,inf,rec_G,rec_E,rec,r0_G,r0_E,r0
527,progeny,19,-0.0172033,-0.0555853,0.929797368414636,-0.0681909,0.0848034,1.01675125486834,0.0731111,-0.0542239,1.01906669141115,0.987792029351088,0.975304255247248,0.96339776952543
528,progeny,19,0.0107271,0.0499415,1.06254672784753,-0.10451,-0.237243,0.710523682386341,0.0759742,0.0728994,1.16052628941487,0.982348937736367,0.891899251080782,0.876156281867067
529,progeny,19,-0.0173642,-0.0553349,0.929880589003175,-0.0682038,0.0839553,1.01587620879929,0.073114,-0.0542145,1.01907922600854,0.987623230117577,0.974730652495678,0.962666635512396
530,progeny,20,-0.0550933,-0.119767,0.83957430110685,-0.0120509,0.370515,1.43112965365134,-0.066218,-0.244209,0.733133841228791,0.875148056071102,1.00656042593644,0.880889400076376
531,progeny,20,-0.049806,0.00775038,0.958816449718434,-0.0170285,0.0171447,1.00011620675148,-0.049498,0.0243345,0.97515046189312,0.890179189504072,1.05046148800724,0.935098955999525
532,progeny,20,-0.0523642,-0.0329286,0.918243383373616,-0.00201416,0.179613,1.19434610123731,-0.0525252,-0.0506993,0.901924468707981,0.89861233098479,1.10074266280611,0.989140930038607
533,progeny,20,-0.0482627,0.0387045,0.990487334402497,-0.0235602,-0.0857306,0.896469686204994,-0.0463494,0.0861641,1.04061792982351,0.888542943475483,1.03991398187805,0.924008230419234
534,progeny,20,-0.0522646,-0.0333208,0.917974744663401,-0.00230953,0.180908,1.1955406023606,-0.0523867,-0.05098,0.901796224166934,0.898560868930225,1.10142764785916,0.989699784324096
535,progeny,20,0.0291623,-0.0796411,0.95077408486927,0.0405045,0.216042,1.29245886373956,-0.0818304,-0.140617,0.80055711494702,0.987910077551835,0.995792775272212,0.983753717844728
536,progeny,20,0.0661099,0.0651972,1.14031791917855,0.019178,-0.113702,0.909805899022427,-0.0718574,0.0600302,0.988242466406594,1.01352109428632,1.01159207332194,1.02526990512462
537,progeny,20,0.0355556,-0.00113022,1.03502479194448,0.0367629,0.0116741,1.04962924309498,-0.0727877,0.0149624,0.943814817483595,0.999530910057106,1.02583434848992,1.02535313991397
538,progeny,20,0.0380715,-0.105438,0.934852515096576,0.0330489,0.297281,1.39142708455,-0.0890166,-0.233844,0.724074783357801,0.98226298596476,0.958868821703183,0.94186135195468
539,progeny,20,0.0287996,-0.107187,0.924606164724491,0.0405111,0.293426,1.39645530377337,-0.0859393,-0.202315,0.749570952107055,0.983508892014195,0.984052529221049,0.96782441269796
540,progeny,20,0.0794676,0.118686,1.21914964082554,-0.0265835,-0.27596,0.738936343828851,0.0731119,0.209847,1.32705061891587,1.13427763116343,1.05397949977376,1.19550537029819
